id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
6352168,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,212.8,samostojna,1877,2000,318.0,199000.0
6284710,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,244.68,samostojna,2007,,736.0,440000.0
6321288,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,810.0,samostojna,1995,,9800.0,1999999.0
6321784,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,810.0,samostojna,1996,,1100.0,1999000.0
6342650,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,810.0,samostojna,1996,,7590.0,1990000.0
6138995,LJ-okolica,Lj. SZ del (Šiška),Vodice,"VODICE, LJ. - OKOLICA",180.0,samostojna,2007,,736.0,419000.0
6238003,LJ-okolica,Lj. SZ del (Šiška),Vodice,"VODICE, OKOLICA",810.0,samostojna,1995,,9729.0,1990000.0
6329314,LJ-okolica,Lj. SZ del (Šiška),Vodice,"VODICE, PRILOŽNOST ZA INVESTITORJE",437.0,samostojna,1890,1990,1463.0,199000.0
6348852,LJ-okolica,Lj. SZ del (Šiška),Vodice,"VODICE, SELO PRI VODICAH",91.4,vrstna,2002,2018,243.3,239000.0
6353013,Savinjska,Šentjur,Šentjur,VODUCE,600.0,samostojna,1780,,136142.0,130000.0
6350944,Gorenjska,Kranj,Šenčur,"VOGLJE, ŠENČUR",151.0,samostojna,2020,,368.0,360000.0
6306122,S.Primorska,Nova Gorica,Renče - Vogrsko,VOGRSKO,604.9,samostojna,1995,,1466.0,370000.0
6364521,Savinjska,Celje,Vojnik,VOJNIK,110.0,dvojček,2020,,350.0,148000.0
6319851,Savinjska,Celje,Vojnik,VOJNIK,220.0,samostojna,1998,2019,10570.0,970000.0
6079749,Savinjska,Celje,Vojnik,VOJNIK,296.5,dvostanovanjska,1972,2014,897.0,138000.0
6322510,Savinjska,Celje,Vojnik,VOJNIK,296.5,samostojna,1972,2012,897.0,138000.0
6300489,Savinjska,Celje,Vojnik,VOJNIK,518.7,samostojna,1996,,1643.0,590000.0
6303288,Savinjska,Celje,Vojnik,"VOJNIK, ARCLIN",250.0,samostojna,1974,,1371.0,230000.0
6252694,Savinjska,Celje,Vojnik,"VOJNIK, FRANKOLOVO",87.0,samostojna,1980,,1100.0,62000.0
6251982,Savinjska,Celje,Vojnik,"VOJNIK, GRADIŠČE PRI VOJNIKU",105.0,samostojna,2018,,300.0,45000.0
6362934,Savinjska,Celje,Vojnik,"VOJNIK, KAŠOVA ULICA",182.7,samostojna,2008,,512.0,175000.0
6271522,S.Primorska,Idrija,Idrija,"VOJSKO, OGALCE 72",150.0,samostojna,1910,,400.0,49999.0
5381296,S.Primorska,Nova Gorica,Miren - Kostanjevica,VOJŠČICA,197.4,hiša,1920,,601.0,65000.0
6360648,Gorenjska,Kranj,Šenčur,VOKLO,130.8,samostojna,1956,,1086.0,149000.0
6361782,Gorenjska,Kranj,Šenčur,VOKLO,135.0,samostojna,2012,,350.0,349000.0
6349422,LJ-mesto,Lj. Moste-Polje,Ljubljana,"VOLAVLJE, V VASI",192.0,samostojna,1900,1923,5203.0,148500.0
6321990,S.Primorska,Tolmin,Tolmin,VOLČE,140.0,vrstna,1915,,,88000.0
6315975,S.Primorska,Tolmin,Tolmin,VOLČE,288.0,samostojna,2013,,356.0,240000.0
